"","Entity","Code","Day","restrictions_internal_movements"
"131","Mexico","MEX","2020-05-10",2
"132","Mexico","MEX","2020-05-11",2
"133","Mexico","MEX","2020-05-12",2
"134","Mexico","MEX","2020-05-13",2
"135","Mexico","MEX","2020-05-14",2
"136","Mexico","MEX","2020-05-15",2
"137","Mexico","MEX","2020-05-16",2
"138","Mexico","MEX","2020-05-17",2
"139","Mexico","MEX","2020-05-18",2
"140","Mexico","MEX","2020-05-19",2
"141","Mexico","MEX","2020-05-20",2
"142","Mexico","MEX","2020-05-21",2
"143","Mexico","MEX","2020-05-22",2
"144","Mexico","MEX","2020-05-23",2
"145","Mexico","MEX","2020-05-24",2
"146","Mexico","MEX","2020-05-25",2
"147","Mexico","MEX","2020-05-26",2
"148","Mexico","MEX","2020-05-27",2
"149","Mexico","MEX","2020-05-28",2
"150","Mexico","MEX","2020-05-29",2
"151","Mexico","MEX","2020-05-30",2
"152","Mexico","MEX","2020-05-31",2
"153","Mexico","MEX","2020-06-01",2
"154","Mexico","MEX","2020-06-02",2
"155","Mexico","MEX","2020-06-03",2
"156","Mexico","MEX","2020-06-04",2
"157","Mexico","MEX","2020-06-05",2
"158","Mexico","MEX","2020-06-06",2
"159","Mexico","MEX","2020-06-07",2
"160","Mexico","MEX","2020-06-08",2
"161","Mexico","MEX","2020-06-09",2
"162","Mexico","MEX","2020-06-10",2
"163","Mexico","MEX","2020-06-11",2
"164","Mexico","MEX","2020-06-12",2
"165","Mexico","MEX","2020-06-13",2
"166","Mexico","MEX","2020-06-14",2
"167","Mexico","MEX","2020-06-15",2
"168","Mexico","MEX","2020-06-16",2
"169","Mexico","MEX","2020-06-17",2
"170","Mexico","MEX","2020-06-18",2
"171","Mexico","MEX","2020-06-19",2
"172","Mexico","MEX","2020-06-20",2
"173","Mexico","MEX","2020-06-21",2
"174","Mexico","MEX","2020-06-22",2
"175","Mexico","MEX","2020-06-23",2
"176","Mexico","MEX","2020-06-24",2
"177","Mexico","MEX","2020-06-25",2
"178","Mexico","MEX","2020-06-26",2
"179","Mexico","MEX","2020-06-27",2
"180","Mexico","MEX","2020-06-28",2
"181","Mexico","MEX","2020-06-29",2
"182","Mexico","MEX","2020-06-30",2
"183","Mexico","MEX","2020-07-01",2
"184","Mexico","MEX","2020-07-02",2
"185","Mexico","MEX","2020-07-03",2
"186","Mexico","MEX","2020-07-04",2
"187","Mexico","MEX","2020-07-05",2
"188","Mexico","MEX","2020-07-06",2
"189","Mexico","MEX","2020-07-07",2
"190","Mexico","MEX","2020-07-08",2
"191","Mexico","MEX","2020-07-09",2
"192","Mexico","MEX","2020-07-10",2
"193","Mexico","MEX","2020-07-11",2
"194","Mexico","MEX","2020-07-12",2
"195","Mexico","MEX","2020-07-13",2
"196","Mexico","MEX","2020-07-14",2
"197","Mexico","MEX","2020-07-15",2
"198","Mexico","MEX","2020-07-16",2
"199","Mexico","MEX","2020-07-17",2
"200","Mexico","MEX","2020-07-18",2
"201","Mexico","MEX","2020-07-19",2
"202","Mexico","MEX","2020-07-20",2
"203","Mexico","MEX","2020-07-21",2
"204","Mexico","MEX","2020-07-22",2
"205","Mexico","MEX","2020-07-23",2
"206","Mexico","MEX","2020-07-24",2
"207","Mexico","MEX","2020-07-25",2
"208","Mexico","MEX","2020-07-26",2
"209","Mexico","MEX","2020-07-27",2
"210","Mexico","MEX","2020-07-28",2
"211","Mexico","MEX","2020-07-29",2
"212","Mexico","MEX","2020-07-30",2
